Artist,Song Title,Genre,Lyrics,category
Onerepublic,Run,Pop,"When I was a young boy living in the city
All I did was run, run, run, run, run
Staring at the lights, they look so pretty
Momma said, ""Son, son, son, son, son""

""You're gonna grow up, you're gonna get old
All that glitter don't turn to gold
But until then, just have your fun
Boy, run, run, run, run, run""

Yeah, run, run, run
Run, run, run

When I was a young kid living in the city
All I did was pay, pay, pay, pay, pay
And every single dime that good Lord gave me
I could make it last three, four, five days
Living it up but living down low
Chasing that luck before I get old
And looking back, oh, we had some fun
Boy, run, run, run, run, run",1
Onerepublic,Distance,Pop,"I don't wanna only call your name when I'm brokenhearted, yeah
I already know how much I've got to lose, oh, ooh-oh, oh
I don't wanna have to crash and burn to be where we started, yeah
I don't wanna ever need a map to you, oh

I've run so far, been so high
I'll chase the sun 'til I die

But I ain't gonna keep my distance from you
Yeah, I already know what distance can do",1
Onerepublic,Someday,Pop,"Some days I'm treading the water and feel like it's getting deep
Some nights I drown in the weight of the things that I think I need
Sometimes, I feel incomplete, yeah
But you always say to me, say to me

Oh, you say someday when we're older
We'll be shinin' like we're gold, yeah, won't we? (Won't we?)
Won't we? (Won't we?)
And someday when we're older
I'll be yours, and you'll be mine, babe, happy (happy)
Happy

Oh, you say someday when we're older
We won't worry 'bout the things that we don't need
We don't need
Yeah, one day down the line before we both run out of time
You're gonna see",1
Onerepublic,Didn't I,Pop,"Didn't I, didn't I, didn't I love you?
Didn't we, didn't we, didn't we fly?
Know that I, know that I still care for you
But didn't we, didn't we say goodbye?

Swear I saw your face
At a coffee shop on 8th
Or maybe it was in my mind?
And I swear that I heard your laugh
From a person that walked past me
At a party the other night

Never thought we'd ever have to go without
Take you over anybody else, hands down
We're the type of melody that don't fade out
Don't fade out, can't fade out

Didn't I, didn't I, didn't I love you?
Didn't we, didn't we, didn't we fly?
Know that I, know that I still care for you
But didn't we, didn't we say goodbye?",1
Onerepublic,Rescue Me,Pop,"Would you rescue me?
Would you get my back?
Would you take my call when I start to crack?
Would you rescue me? Ah
Would you rescue me?

Would you rescue me when I'm by myself?
When I need your love, if I need your help
Would you rescue me? Ah
Would you rescue me?

We don't talk much, not anymore
Broken bottles and slammin' doors
But we still care about each other
Say we care about each other

I know life took us far away
But I still dream 'bout the good old days
So we took care of each other
We were livin' for each other

But I start to wonder, wonder
If I'm slipping under, under (oh, oh)

Would you rescue me?
Would you get my back?
Would you take my call when I start to crack?
Would you rescue me? Ah",1
Onerepublic,Savior,Pop,"I don't feel like I'm myself today
Something in me just let go
Took some medicine to numb the pain
Went so dark, you'd never know

And I'm being honest with you now
Hangin' by a thread, am I?
Don't excuse this bad behavior

But tonight, I need a savior (oh-oh)
And you're looking like a savior (ooh, ooh)
Sometimes you need someone to save ya (oh-oh)
Hoping you could be my savior, savior

I don't feel like I belong today (oh)",1
Onerepublic,Take Care Of You,Pop,"Some days you're alone, yeah
Some days this don't feel like home, mmh
It's not just how we planned it, hey, yeah
I'm so happy they're throwing stones, no

And I know that you
Need someone to make it through
Yeah, yeah, yeah, you know that, ooh
Days like this I needed too, ooh

So I'll take care of you (take care of you)
And honey, you'll take care of me, too (take care of you)
It's magic when we do (magic you do)
So if you ever feel like falling through (take care of you)
Yeah, I'll take care of you
Woo, you'll take care of me, too, oh, yeah
I'll take care of you",1
Onerepublic,Forgot About You,Pop,"I forgot about you
I forgot about what you said
I forgot about what you did
I forgot about you
I forgot about you
Forgot about everything
And I ain't lookin' back your way
I forgot about you

I would run through fire for you, even if it tore me up
Kill myself to satisfy you, but it was never good enough
Every time I needed you to catch me, you would always let me fall
So love me, hate me, burn me, blame me
I don't really care at all

I forgot about you
I forgot about what you said
I forgot about what you did
I forgot about you ('bout you)
I forgot about you (woo)
I forgot about everything
And I ain't lookin' back your way
I forgot about you (yeah, yeah)

I forgot about you
I forgot about what you said
I forgot about what you did
I forgot about you ('bout you)",1
Onerepublic,Somebody To Love,Pop,"Never could imagine the way the story happened
You with someone new
I used to be your focus, now you don't even notice
When I leave the room

You weren't even tryin' to make me jealous
But you can't help it, you can't help it

And it kills me to know that you found
Somebody to love, somebody to love
Tell me how can I go on without
Somebody to love, somebody to love
Somebody to love
Somebody to love
Somebody to-",1
Onerepublic,Wanted,Pop,"She said, every time I close my eyes
I feel like I could disappear (disappear)
I could overflow an ocean
With the cavalcade of all my tears (all my tears)
And I know I sound dramatic
But that's just how it feels (how it feels)
She said, I'm holdin' to the notion
That I'll find something real

Yeah, I just wanna be wanted, oh
I could use a little love sometimes
I just need to be needed, oh
Like to know I'm crossin' someone's mind",1
Onerepublic,Take It Out On Me,Pop,"Tell me about your day
Tell me everything that made you so angry
If I don't know what to say
Then I'll find some words to say

Just this one time
I won't put in my two cents
Just this one time
I'll just shut up and listen
Only if you
Promise that you'll do the same
When you've had a bad day, oh

Take it out on me
Take it out on me, yeah
'Cause I'm strong enough to not break
And I know that you'd do the same",1
